system,uses_vlm,output_type,accuracy,macro_f1,json_output,structured_eval_available
best_non_vlm_classifier,no,class_only,0.6551724137931034,0.6683501683501684,no,no
stage3_qwen_val_v2_clean_final,yes,JSON+class,0.4655,0.2882_eval5 / 0.4804_3class,yes,yes
stage4_context_pad030_maxpix401k,yes,JSON+class,0.3966,,yes,yes
stage4_dinov2_packfix_secondbest035,partial_qwen_reporter,JSON+class,0.5862,0.5922_3class / 0.4441_all_with_nan,yes,yes
stage3_vlm_backbone_internvl3_2b_base,yes,JSON+class,0.5517,0.2853,yes,yes
