correct,total,acc,macro3,macro_all,recall_insulator_ok,recall_defect_flashover,recall_defect_broken,run
23,58,0.39655172413793105,0.3749275362318841,0.22495652173913042,0.34375,0.5,0.3333333333333333,qwen_baseline
28,58,0.4827586206896552,0.4671474358974359,0.3503605769230769,0.1875,0.95,0.5,hard_dinov2
27,58,0.46551724137931033,0.4686697483307653,0.35150231124807396,0.25,0.8,0.5,qwen_veto_cv035
34,58,0.5862068965517241,0.5921650840629753,0.4441238130472315,0.46875,0.7,0.8333333333333334,champ_secondbest_cv035
