model_name,model_id,run_id,preflight_ok,full_ok,error,notes,evaluated_total,parse_success,schema_valid,coarse_acc,coarse_correct_total,coarse_macro_f1,visibility_acc,visibility_macro_f1,needs_review_acc,tag_mean_jaccard,pred_ambiguous_rate,insulator_ok_total,insulator_ok_correct,insulator_ok_recall,defect_flashover_total,defect_flashover_correct,defect_flashover_recall,defect_broken_total,defect_broken_correct,defect_broken_recall,unknown_total,unknown_correct,unknown_recall,other_total,other_correct,other_recall,verdict
qwen25vl_3b_control,Qwen/Qwen2.5-VL-3B-Instruct,stage3_qwen_val_v2_model_sweep_clean_qwen25vl_3b_control,True,True,,clean 3B baseline control,58.0,1.0,1.0,0.4827586206896552,28.0,0.2946488294314381,0.8275862068965517,0.5218476903870163,0.8620689655172413,0.19770114942528738,0.25862068965517243,32.0,10.0,0.3125,20.0,15.0,0.75,6.0,3.0,0.5,0.0,0.0,,0.0,0.0,,CONTROL
qwen3vl_4b,Qwen/Qwen3-VL-4B-Instruct,stage3_qwen_val_v2_model_sweep_clean_qwen3vl_4b,True,True,,newer mid-small Qwen3-VL candidate,58.0,1.0,1.0,0.5344827586206896,31.0,0.2748251748251748,0.8793103448275862,0.5576707726763717,0.9137931034482759,0.2876436781609194,0.1724137931034483,32.0,27.0,0.84375,20.0,2.0,0.1,6.0,2.0,0.3333333333333333,0.0,0.0,,0.0,0.0,,WEAK_SIGNAL
qwen25vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,stage3_qwen_val_v2_model_sweep_clean_qwen25vl_7b,True,True,,same-family scale test,58.0,1.0,1.0,0.5,29.0,0.15563298490127758,0.8793103448275862,0.559278350515464,0.9310344827586207,0.40660919540229884,0.1206896551724138,32.0,28.0,0.875,20.0,1.0,0.05,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,,WEAK_SIGNAL
qwen25vl_7b_awq,Qwen/Qwen2.5-VL-7B-Instruct-AWQ,stage3_qwen_val_v2_model_sweep_clean_qwen25vl_7b_awq,False,False,preflight failed: Command failed (1): python scripts/run_stage3_vlm_baseline.py --config /kaggle/working/vlm-for-insulator-defect-detection/configs/stage3_model_sweep_qwen25vl_7b_awq.yaml --run-id stage3_qwen_val_v2_model_sweep_clean_qwen25vl_7b_awq_preflight --max-samples 1 --no-resume,quantized 7B fallback if full 7B is memory-limited,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN
qwen3vl_2b,Qwen/Qwen3-VL-2B-Instruct,stage3_qwen_val_v2_model_sweep_clean_qwen3vl_2b,True,False,full run failed: Command failed (1): python scripts/validate_vlm_labels_v1.py --input /kaggle/working/vlm-for-insulator-defect-detection/outputs/stage3_vlm_baseline_runs/stage3_qwen_val_v2_model_sweep_clean_qwen3vl_2b/predictions_vlm_labels_v1.jsonl,newer small Qwen3-VL candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN
