rule,correct,acc,macro_f1,ok_correct,ok_total,flashover_correct,flashover_total,broken_correct,broken_total
3b,28,0.4827586206896552,0.2946488294314381,10,32,15,20,3,6
7b,29,0.5,0.15563298490127758,28,32,1,20,0,6
q3_4b,31,0.5344827586206896,0.2748251748251748,27,32,2,20,2,6
majority_tie_3b_defects,33,0.5689655172413793,0.2714766714766714,27,32,5,20,1,6
majority_tie_ok,31,0.5344827586206896,0.2317780984447651,28,32,2,20,1,6
hybrid_3b_defect_guard,33,0.5689655172413793,0.264069264069264,27,32,5,20,1,6
hybrid_3b_defects_else_q3_4b,30,0.5172413793103449,0.3056514913657771,12,32,15,20,3,6
oracle_any_model_correct,47,0.8103448275862069,0.4888461538461538,28,32,15,20,4,6
