classifier,C,class_weight,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_recall_insulator_ok_mean,cv_recall_insulator_ok_std,cv_recall_defect_flashover_mean,cv_recall_defect_flashover_std,cv_recall_defect_broken_mean,cv_recall_defect_broken_std,kernel
logreg,0.01,none,0.8666666666666668,0.046656947481584346,0.7030765639589169,0.1355105017631787,0.975,0.049999999999999996,0.4,0.37416573867739417,0.6,0.24944382578492943,
logreg,0.01,balanced,0.8571428571428571,0.07377111135633174,0.7613636363636364,0.09508368848298338,0.9125,0.08477912478906585,0.6,0.37416573867739417,0.7333333333333332,0.13333333333333336,
logreg,0.03,none,0.8761904761904761,0.05714285714285716,0.7357832595403753,0.08715425019431662,0.9625,0.075,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,
logreg,0.03,balanced,0.8666666666666666,0.07619047619047618,0.7615255496137848,0.08555640236406639,0.9375,0.09682458365518543,0.5,0.31622776601683794,0.7333333333333332,0.13333333333333336,
logreg,0.1,none,0.8761904761904761,0.05714285714285716,0.7357832595403753,0.08715425019431662,0.9625,0.075,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,
logreg,0.1,balanced,0.8571428571428571,0.05216405309573012,0.7069775554405535,0.09384049067946271,0.95,0.07288689868556626,0.4,0.37416573867739417,0.6666666666666666,0.21081851067789195,
logreg,0.3,none,0.8761904761904761,0.05714285714285716,0.7357832595403753,0.08715425019431662,0.9625,0.075,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,
logreg,0.3,balanced,0.8571428571428571,0.05216405309573012,0.7069775554405535,0.09384049067946271,0.95,0.07288689868556626,0.4,0.37416573867739417,0.6666666666666666,0.21081851067789195,
logreg,1.0,none,0.8761904761904761,0.05714285714285716,0.7357832595403753,0.08715425019431662,0.9625,0.075,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,
logreg,1.0,balanced,0.8666666666666666,0.055532875189002885,0.7203108887738867,0.07836796649991551,0.95,0.07288689868556626,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,
logreg,3.0,none,0.8761904761904761,0.05714285714285716,0.7357832595403753,0.08715425019431662,0.9625,0.075,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,
logreg,3.0,balanced,0.8761904761904761,0.05714285714285716,0.7422048281678262,0.09360465943395238,0.95,0.07288689868556626,0.4,0.37416573867739417,0.7999999999999999,0.16329931618554525,
svm,0.1,none,0.8666666666666666,0.055532875189002885,0.7203108887738867,0.07836796649991551,0.95,0.07288689868556626,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,linear
svm,0.1,balanced,0.8666666666666666,0.055532875189002885,0.7203108887738867,0.07836796649991551,0.95,0.07288689868556626,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,linear
svm,0.1,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.1,balanced,0.7714285714285715,0.055532875189002844,0.48128826897327837,0.049897278064448165,0.875,0.07905694150420949,0.0,0.0,0.7333333333333333,0.24944382578492943,rbf
svm,0.3,none,0.8666666666666666,0.055532875189002885,0.7203108887738867,0.07836796649991551,0.95,0.07288689868556626,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,linear
svm,0.3,balanced,0.8666666666666666,0.055532875189002885,0.7203108887738867,0.07836796649991551,0.95,0.07288689868556626,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,linear
svm,0.3,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.3,balanced,0.5999999999999999,0.10257456775494292,0.523046576611794,0.1488432323838183,0.575,0.10752906583803283,0.5,0.4472135954999579,0.7999999999999999,0.16329931618554522,rbf
svm,1.0,none,0.8666666666666666,0.055532875189002885,0.7203108887738867,0.07836796649991551,0.95,0.07288689868556626,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,linear
svm,1.0,balanced,0.8666666666666666,0.055532875189002885,0.7203108887738867,0.07836796649991551,0.95,0.07288689868556626,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,linear
svm,1.0,none,0.7428571428571428,0.03809523809523809,0.28396396396396395,0.00864864864864865,0.975,0.049999999999999996,0.0,0.0,0.0,0.0,rbf
svm,1.0,balanced,0.780952380952381,0.04856209060564556,0.5629505135387488,0.08211222656471011,0.9125,0.08477912478906585,0.3,0.24494897427831783,0.39999999999999997,0.38873012632302,rbf
svm,3.0,none,0.8666666666666666,0.055532875189002885,0.7203108887738867,0.07836796649991551,0.95,0.07288689868556626,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,linear
svm,3.0,balanced,0.8666666666666666,0.055532875189002885,0.7203108887738867,0.07836796649991551,0.95,0.07288689868556626,0.4,0.37416573867739417,0.7333333333333333,0.24944382578492943,linear
svm,3.0,none,0.8,0.03563483225498992,0.4471936221936222,0.13985700768675535,0.975,0.049999999999999996,0.0,0.0,0.39999999999999997,0.38873012632302,rbf
svm,3.0,balanced,0.7809523809523811,0.04856209060564556,0.4421936221936222,0.1337232919914454,0.95,0.09999999999999999,0.0,0.0,0.39999999999999997,0.38873012632302,rbf
