run,gt_objects_total,detector_found_total,good_crop_total,vlm_correct_on_good_crop_total,pipeline_correct_total,ceiling_correct_total,detector_match_rate,good_crop_rate_among_matched,vlm_correct_rate_among_good_pred_crops,pipeline_correct_rate,ceiling_correct_rate,ceiling_vs_actual_gap
tight_015,58,58,57,21,21,27,1.0,0.9827586206896551,0.3684210526315789,0.3620689655172414,0.46551724137931033,0.10344827586206895
context_030_maxpix401k,58,58,57,23,23,27,1.0,0.9827586206896551,0.40350877192982454,0.39655172413793105,0.46551724137931033,0.06896551724137928
