model_key,model_id,evaluated_total,parse_success,schema_valid,coarse_acc,coarse_macro_f1,visibility_acc,visibility_macro_f1,tag_mean_jaccard,verdict
qwen25vl_3b_control,Qwen/Qwen2.5-VL-3B-Instruct,58,1.0,1.0,0.4827586206896552,0.2946488294314381,0.8275862068965517,0.5218476903870163,0.19770114942528738,BASELINE_ANCHOR
internvl3_2b_base,OpenGVLab/InternVL3-2B-hf,58,1.0,1.0,0.5517241379310345,0.28527492408089417,0.7931034482758621,0.2948717948717949,0.03304597701149425,BEST_RAW_ACC_NOT_PROMOTED
internvl3_2b_defect_recall,OpenGVLab/InternVL3-2B-hf + defect recall addendum,58,1.0,1.0,0.39655172413793105,0.22550348953140578,0.7931034482758621,0.2948717948717949,0.05172413793103448,FAILED_OVERCALL_DEFECTS
internvl3_2b_balanced_defect,OpenGVLab/InternVL3-2B-hf + balanced addendum,58,1.0,1.0,0.5,0.23157894736842102,0.7931034482758621,0.2948717948717949,0.15804597701149425,FAILED_LOW_DEFECT_RECALL
llava_onevision_qwen2_0_5b,llava-hf/llava-onevision-qwen2-0.5b-ov-hf,58,0.7931034482758621,0.2413793103448276,0.1206896551724138,0.06086956521739131,0.13793103448275862,0.1021383647798742,0.0,FAILED_SCHEMA_OR_SEMANTICS
smolvlm2_2b_instruct,HuggingFaceTB/SmolVLM2-2.2B-Instruct,58,0.0,0.0,0.0,0.0,0.15517241379310345,0.08955223880597014,0.0,FAILED_PARSE
smolvlm2_500m_video_instruct,HuggingFaceTB/SmolVLM2-500M-Video-Instruct,58,0.603448275862069,0.603448275862069,0.3275862068965517,0.11343283582089551,0.05172413793103448,0.052631578947368425,0.0,FAILED_CLASS_COLLAPSE
phi35_vision_instruct,microsoft/Phi-3.5-vision-instruct,0,0,0,0,0,0,0,0,NOT_RUN_GENERIC_PIPELINE_INCOMPATIBLE
