method,accuracy,macro_f1_3class,ok_recall,flashover_recall,broken_recall,C,class_weight,flash_thr
logreg_c0.3_plain,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.3,None,
logreg_c0.3_plain_flash_gate_0.35_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.3,None,0.35
logreg_c0.3_plain_flash_gate_0.45_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.3,None,0.45
logreg_c0.3_plain_flash_gate_0.55_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.3,None,0.55
logreg_c0.3_plain_flash_gate_0.65_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.3,None,0.65
logreg_c0.3_plain_flash_gate_0.75_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.3,None,0.75
logreg_c1_plain,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,1.0,None,
logreg_c1_plain_flash_gate_0.35_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,1.0,None,0.35
logreg_c1_plain_flash_gate_0.45_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,1.0,None,0.45
logreg_c1_plain_flash_gate_0.55_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,1.0,None,0.55
logreg_c1_plain_flash_gate_0.65_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,1.0,None,0.65
logreg_c1_plain_flash_gate_0.75_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,1.0,None,0.75
logreg_c3_plain_flash_gate_0.55_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,3.0,None,0.55
logreg_c3_plain_flash_gate_0.65_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,3.0,None,0.65
logreg_c3_plain_flash_gate_0.75_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,3.0,None,0.75
logreg_c0.03_balanced_flash_gate_0.45_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.03,balanced,0.45
logreg_c0.03_balanced_flash_gate_0.55_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.03,balanced,0.55
logreg_c0.03_balanced_flash_gate_0.65_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.03,balanced,0.65
logreg_c0.03_balanced_flash_gate_0.75_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.03,balanced,0.75
logreg_c0.1_balanced_flash_gate_0.45_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.1,balanced,0.45
logreg_c0.1_balanced_flash_gate_0.55_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.1,balanced,0.55
logreg_c0.1_balanced_flash_gate_0.65_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.1,balanced,0.65
logreg_c0.1_balanced_flash_gate_0.75_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.1,balanced,0.75
logreg_c0.3_balanced_flash_gate_0.55_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.3,balanced,0.55
logreg_c0.3_balanced_flash_gate_0.65_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.3,balanced,0.65
logreg_c0.3_balanced_flash_gate_0.75_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,0.3,balanced,0.75
logreg_c1_balanced_flash_gate_0.75_else_ok,0.5517241379310345,0.23703703703703705,1.0,0.0,0.0,1.0,balanced,0.75
logreg_c3_plain_flash_gate_0.45_else_ok,0.5344827586206896,0.23220973782771537,0.96875,0.0,0.0,3.0,None,0.45
logreg_c10_plain_flash_gate_0.65_else_ok,0.5344827586206896,0.23220973782771537,0.96875,0.0,0.0,10.0,None,0.65
logreg_c10_plain_flash_gate_0.75_else_ok,0.5344827586206896,0.23220973782771537,0.96875,0.0,0.0,10.0,None,0.75
logreg_c3_plain_zs_broken_rescue,0.3275862068965517,0.23076923076923075,0.5,0.0,0.5,,,
logreg_c0.03_plain_zs_broken_rescue,0.29310344827586204,0.1717171717171717,0.53125,0.0,0.0,,,
logreg_c0.1_plain_zs_broken_rescue,0.29310344827586204,0.1717171717171717,0.53125,0.0,0.0,,,
logreg_c0.3_plain_zs_broken_rescue,0.29310344827586204,0.1717171717171717,0.53125,0.0,0.0,,,
logreg_c1_plain_zs_broken_rescue,0.29310344827586204,0.1717171717171717,0.53125,0.0,0.0,,,
