classifier,C,class_weight,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_recall_insulator_ok_mean,cv_recall_insulator_ok_std,cv_recall_defect_flashover_mean,cv_recall_defect_flashover_std,cv_recall_defect_broken_mean,cv_recall_defect_broken_std,kernel
logreg,0.01,none,0.7809523809523808,0.023328473740792197,0.44766246766246764,0.09148057506155313,0.9625,0.049999999999999996,0.1,0.20000000000000004,0.26666666666666666,0.2494438257849294,
logreg,0.01,balanced,0.7904761904761903,0.04856209060564556,0.5606224712107065,0.08571611061590319,0.925,0.09185586535436917,0.3,0.39999999999999997,0.39999999999999997,0.32659863237109044,
logreg,0.03,none,0.7904761904761906,0.023328473740792197,0.495279057859703,0.06674640014111363,0.95,0.07288689868556626,0.1,0.20000000000000004,0.39999999999999997,0.32659863237109044,
logreg,0.03,balanced,0.7904761904761903,0.04856209060564556,0.5606224712107065,0.08571611061590319,0.925,0.09185586535436917,0.3,0.39999999999999997,0.39999999999999997,0.32659863237109044,
logreg,0.1,none,0.7904761904761906,0.023328473740792197,0.495279057859703,0.06674640014111363,0.95,0.07288689868556626,0.1,0.20000000000000004,0.39999999999999997,0.32659863237109044,
logreg,0.1,balanced,0.7904761904761903,0.04856209060564556,0.5606224712107065,0.08571611061590319,0.925,0.09185586535436917,0.3,0.39999999999999997,0.39999999999999997,0.32659863237109044,
logreg,0.3,none,0.8,0.01904761904761907,0.4976984126984127,0.07104677503505939,0.9625,0.049999999999999996,0.1,0.20000000000000004,0.39999999999999997,0.32659863237109044,
logreg,0.3,balanced,0.7904761904761903,0.04856209060564556,0.5606224712107065,0.08571611061590319,0.925,0.09185586535436917,0.3,0.39999999999999997,0.39999999999999997,0.32659863237109044,
logreg,1.0,none,0.8095238095238095,0.030116930096841705,0.49997113997113996,0.07514618405847837,0.975,0.030618621784789725,0.1,0.20000000000000004,0.39999999999999997,0.32659863237109044,
logreg,1.0,balanced,0.8,0.04665694748158433,0.5627388733271086,0.08310838159730494,0.9375,0.09682458365518543,0.3,0.39999999999999997,0.39999999999999997,0.32659863237109044,
logreg,3.0,none,0.8095238095238095,0.030116930096841705,0.49997113997113996,0.07514618405847837,0.975,0.030618621784789725,0.1,0.20000000000000004,0.39999999999999997,0.32659863237109044,
logreg,3.0,balanced,0.7904761904761906,0.04856209060564556,0.5166137566137566,0.0860081187415466,0.9375,0.09682458365518543,0.2,0.4000000000000001,0.39999999999999997,0.32659863237109044,
svm,0.1,none,0.8285714285714285,0.04856209060564558,0.526025521319639,0.09654711364869005,0.9875,0.025,0.2,0.4000000000000001,0.39999999999999997,0.32659863237109044,linear
svm,0.1,balanced,0.8285714285714285,0.04856209060564558,0.526025521319639,0.09654711364869005,0.9875,0.025,0.2,0.4000000000000001,0.39999999999999997,0.32659863237109044,linear
svm,0.1,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.1,balanced,0.6857142857142857,0.04856209060564556,0.32141662399726917,0.05077062750044692,0.85,0.1286953767623375,0.0,0.0,0.26666666666666666,0.38873012632302006,rbf
svm,0.3,none,0.8285714285714285,0.04856209060564558,0.526025521319639,0.09654711364869005,0.9875,0.025,0.2,0.4000000000000001,0.39999999999999997,0.32659863237109044,linear
svm,0.3,balanced,0.8285714285714285,0.04856209060564558,0.526025521319639,0.09654711364869005,0.9875,0.025,0.2,0.4000000000000001,0.39999999999999997,0.32659863237109044,linear
svm,0.3,none,0.7619047619047619,0.0,0.2882882882882883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,rbf
svm,0.3,balanced,0.5238095238095237,0.12046772038736683,0.4389309083376795,0.14028752397739466,0.5375,0.18371173070873836,0.4,0.37416573867739417,0.5333333333333333,0.2666666666666667,rbf
svm,1.0,none,0.8285714285714285,0.04856209060564558,0.526025521319639,0.09654711364869005,0.9875,0.025,0.2,0.4000000000000001,0.39999999999999997,0.32659863237109044,linear
svm,1.0,balanced,0.8285714285714285,0.04856209060564558,0.526025521319639,0.09654711364869005,0.9875,0.025,0.2,0.4000000000000001,0.39999999999999997,0.32659863237109044,linear
svm,1.0,none,0.7428571428571428,0.03809523809523809,0.28396396396396395,0.00864864864864865,0.975,0.049999999999999996,0.0,0.0,0.0,0.0,rbf
svm,1.0,balanced,0.7809523809523808,0.0380952380952381,0.5104761904761904,0.052490825923016834,0.9375,0.09682458365518543,0.2,0.24494897427831783,0.3333333333333333,0.36514837167011077,rbf
svm,3.0,none,0.8285714285714285,0.04856209060564558,0.526025521319639,0.09654711364869005,0.9875,0.025,0.2,0.4000000000000001,0.39999999999999997,0.32659863237109044,linear
svm,3.0,balanced,0.8285714285714285,0.04856209060564558,0.526025521319639,0.09654711364869005,0.9875,0.025,0.2,0.4000000000000001,0.39999999999999997,0.32659863237109044,linear
svm,3.0,none,0.7904761904761906,0.023328473740792197,0.4126573632455986,0.10764593238557023,0.9875,0.024999999999999998,0.0,0.0,0.26666666666666666,0.24944382578492943,rbf
svm,3.0,balanced,0.7619047619047619,0.05216405309573012,0.4054467370596403,0.09828246610245578,0.95,0.09999999999999999,0.0,0.0,0.26666666666666666,0.24944382578492943,rbf
